category,description,difficulty,family,id,isModern,kind,label,language,name,standardVersion,status
cat.cpp.classes,Class with pure virtual functions,advanced,,concept.cpp.abstract_class,true,class,ProgrammingConcept,C++,AbstractClass,latest,active
cat.cpp.classes,Dynamic polymorphism and runtime type behavior,advanced,,concept.cpp.polymorphism,true,class,ProgrammingConcept,C++,Polymorphism,latest,active
cat.cpp.classes,Friend relationships between entities,advanced,,concept.cpp.friend,true,class,ProgrammingConcept,C++,FriendDeclaration,latest,active
cat.cpp.classes,Static data and functions in classes,intermediate,,concept.cpp.static_member,true,class,ProgrammingConcept,C++,StaticMember,latest,active
cat.cpp.templates,Family of class definitions parameterized by template parameters,advanced,,concept.cpp.class_template,true,template,ProgrammingConcept,C++,ClassTemplate,latest,active
cat.cpp.templates,Family of functions parameterized by template parameters,advanced,,concept.cpp.function_template,true,template,ProgrammingConcept,C++,FunctionTemplate,latest,active
cat.cpp.templates,Variable templates in C++,advanced,,concept.cpp.variable_template,true,template,ProgrammingConcept,C++,VariableTemplate,latest,active
cat.cpp.templates,Explicit specialization of templates,advanced,,concept.cpp.template_specialization,true,template,ProgrammingConcept,C++,TemplateSpecialization,latest,active
cat.cpp.templates,Partial specialization of class or variable templates,advanced,,concept.cpp.partial_specialization,true,template,ProgrammingConcept,C++,PartialSpecialization,latest,active
cat.cpp.templates,Template constraints and concepts,advanced,,concept.cpp.concepts_constraints,true,template,ProgrammingConcept,C++,ConceptsAndConstraints,latest,active
cat.cpp.templates,Variadic template pack parameters,advanced,,concept.cpp.parameter_pack,true,template,ProgrammingConcept,C++,ParameterPack,latest,active
cat.cpp.templates,Instantiation of template definitions into concrete entities,advanced,,concept.cpp.template_instantiation,true,template,ProgrammingConcept,C++,TemplateInstantiation,latest,active
cat.cpp.exceptions,Throwing exceptions in C++,intermediate,,concept.cpp.throw,true,exception,ProgrammingConcept,C++,ThrowExpression,latest,active
cat.cpp.exceptions,Handling exceptions with try and catch,intermediate,,concept.cpp.try_catch,true,exception,ProgrammingConcept,C++,TryCatch,latest,active
cat.cpp.exceptions,noexcept for exception specification and optimization,advanced,,concept.cpp.noexcept,true,exception,ProgrammingConcept,C++,Noexcept,latest,active
cat.cpp.exceptions,Standard library exception hierarchy,intermediate,,concept.cpp.standard_exception,true,exception,ProgrammingConcept,C++,StandardException,latest,active
lib.cpp.memory,Smart pointer ownership abstraction in modern C++,advanced,,concept.cpp.smart_pointer,true,library-concept,ProgrammingConcept,C++,SmartPointer,latest,active
lib.cpp.memory,Exclusive ownership smart pointer,intermediate,,concept.cpp.unique_ptr,true,library-class,ProgrammingConcept,C++,std::unique_ptr,latest,active
lib.cpp.memory,Reference-counted shared ownership smart pointer,advanced,,concept.cpp.shared_ptr,true,library-class,ProgrammingConcept,C++,std::shared_ptr,latest,active
lib.cpp.memory,Non-owning weak reference to shared object,advanced,,concept.cpp.weak_ptr,true,library-class,ProgrammingConcept,C++,std::weak_ptr,latest,active
lib.cpp.memory,Polymorphic memory resources and allocators,advanced,,concept.cpp.memory_resource,true,library-concept,ProgrammingConcept,C++,MemoryResource,latest,active
lib.cpp.metaprogramming,Compile-time type inspection and transformation,advanced,,concept.cpp.type_traits,true,library-concept,ProgrammingConcept,C++,TypeTraits,latest,active
lib.cpp.utilities,Type-erased single value holder,intermediate,,concept.cpp.any,true,library-class,ProgrammingConcept,C++,std::any,latest,active
lib.cpp.utilities,Optional contained value or empty state,intermediate,,concept.cpp.optional,true,library-class,ProgrammingConcept,C++,std::optional,latest,active
lib.cpp.utilities,Type-safe tagged union,advanced,,concept.cpp.variant,true,library-class,ProgrammingConcept,C++,std::variant,latest,active
lib.cpp.utilities,Fixed-size heterogeneous value groups,basic,,concept.cpp.pair_tuple,true,library-concept,ProgrammingConcept,C++,PairAndTuple,latest,active
lib.cpp.containers,Contiguous dynamic array container,basic,,concept.cpp.vector,true,library-class,ProgrammingConcept,C++,std::vector,latest,active
lib.cpp.containers,Fixed-size array wrapper with STL interface,basic,,concept.cpp.array_container,true,library-class,ProgrammingConcept,C++,std::array,latest,active
lib.cpp.containers,Double-ended queue container,intermediate,,concept.cpp.deque,true,library-class,ProgrammingConcept,C++,std::deque,latest,active
lib.cpp.containers,Bidirectional linked list container,intermediate,,concept.cpp.list,true,library-class,ProgrammingConcept,C++,std::list,latest,active
lib.cpp.containers,Ordered key-value associative container,intermediate,,concept.cpp.map,true,library-class,ProgrammingConcept,C++,std::map,latest,active
lib.cpp.containers,Hash-based key-value associative container,intermediate,,concept.cpp.unordered_map,true,library-class,ProgrammingConcept,C++,std::unordered_map,latest,active
lib.cpp.containers,"Adaptors such as stack, queue, and priority_queue",intermediate,,concept.cpp.stack_queue,true,library-concept,ProgrammingConcept,C++,ContainerAdaptors,latest,active
lib.cpp.containers,Non-owning view over contiguous sequence,advanced,,concept.cpp.span,true,library-class,ProgrammingConcept,C++,std::span,latest,active
lib.cpp.iterators,Iterator abstraction over sequences and containers,intermediate,,concept.cpp.iterator,true,library-concept,ProgrammingConcept,C++,Iterator,latest,active
lib.cpp.ranges,Composable range and view abstraction,advanced,,concept.cpp.ranges,true,library-concept,ProgrammingConcept,C++,RangesLibrary,latest,active
lib.cpp.ranges,Lazy composable range adaptors,advanced,,concept.cpp.views,true,library-concept,ProgrammingConcept,C++,Views,latest,active
lib.cpp.algorithms,General-purpose sorting algorithm,basic,,concept.cpp.sort,true,library-function,ProgrammingConcept,C++,std::sort,latest,active
lib.cpp.algorithms,Linear search algorithm,basic,,concept.cpp.find,true,library-function,ProgrammingConcept,C++,std::find,latest,active
lib.cpp.algorithms,Binary search over sorted range,intermediate,,concept.cpp.binary_search,true,library-function,ProgrammingConcept,C++,std::binary_search,latest,active
lib.cpp.algorithms,Numeric accumulation algorithm,intermediate,,concept.cpp.accumulate,true,library-function,ProgrammingConcept,C++,std::accumulate,latest,active
lib.cpp.strings,Dynamic owning string type,basic,,concept.cpp.string,true,library-class,ProgrammingConcept,C++,std::string,latest,active
lib.cpp.strings,Non-owning string view type,intermediate,,concept.cpp.string_view,true,library-class,ProgrammingConcept,C++,std::string_view,latest,active
lib.cpp.text_processing,Regular expression engine and matcher,advanced,,concept.cpp.regex,true,library-class,ProgrammingConcept,C++,std::regex,latest,active
lib.cpp.text_processing,Type-safe formatting facility,intermediate,,concept.cpp.format,true,library-function,ProgrammingConcept,C++,std::format,latest,active
lib.cpp.io,High-level print functions standardized in C++23,basic,,concept.cpp.print_functions,true,library-concept,ProgrammingConcept,C++,PrintFunctions,latest,active
lib.cpp.numerics,Pseudo-random engines and distributions,advanced,,concept.cpp.random,true,library-concept,ProgrammingConcept,C++,RandomNumberGeneration,latest,active
lib.cpp.time,"Time durations, clocks, and calendar facilities",intermediate,,concept.cpp.chrono,true,library-concept,ProgrammingConcept,C++,std::chrono,latest,active
lib.cpp.io,Standard stream-based input and output,basic,,concept.cpp.iostream,true,library-concept,ProgrammingConcept,C++,Iostreams,latest,active
lib.cpp.filesystem,Filesystem path and directory operations,intermediate,,concept.cpp.filesystem,true,library-concept,ProgrammingConcept,C++,std::filesystem,latest,active
lib.cpp.concurrency,Thread object for concurrent execution,advanced,,concept.cpp.thread,true,library-class,ProgrammingConcept,C++,std::thread,latest,active
lib.cpp.concurrency,Joining thread wrapper with stop token support,advanced,,concept.cpp.jthread,true,library-class,ProgrammingConcept,C++,std::jthread,latest,active
lib.cpp.concurrency,Mutual exclusion primitive,advanced,,concept.cpp.mutex,true,library-class,ProgrammingConcept,C++,std::mutex,latest,active
lib.cpp.concurrency,Atomic object wrapper for lock-free and lock-based concurrency,advanced,,concept.cpp.atomic,true,library-class,ProgrammingConcept,C++,std::atomic,latest,active
lib.cpp.concurrency,Blocking synchronization primitive for waiting threads,advanced,,concept.cpp.condition_variable,true,library-class,ProgrammingConcept,C++,std::condition_variable,latest,active
lib.cpp.diagnostics,Stacktrace support added in modern C++,advanced,,concept.cpp.stacktrace,true,library-class,ProgrammingConcept,C++,std::stacktrace,latest,active
lib.cpp.concepts,Standard library concepts used for template constraints,advanced,,concept.cpp.library_concepts,true,library-concept,ProgrammingConcept,C++,ConceptsLibrary,latest,active
,Tie resource lifetime to object lifetime using constructors and destructors,,,kp.cpp.raii,true,,KnowledgePoint,C++,RAIIOwnership,latest,active
,Transfer ownership safely using move semantics,,,kp.cpp.move_ownership,true,,KnowledgePoint,C++,MoveOwnershipTransfer,latest,active
,Understand when container operations invalidate iterators and references,,,kp.cpp.iterator_invalidation,true,,KnowledgePoint,C++,IteratorInvalidation,latest,active
,How template arguments are deduced from call-site context,,,kp.cpp.template_deduction,true,,KnowledgePoint,C++,TemplateArgumentDeduction,latest,active
,"Compose filters, transforms, and views over ranges",,,kp.cpp.range_pipeline,true,,KnowledgePoint,C++,RangePipelineBasics,latest,active
cat.cpp.classes,Resource Acquisition Is Initialization for deterministic cleanup,advanced,,concept.cpp.raii,true,design-principle,ProgrammingConcept,C++,RAII,latest,active
